"school_id","school_name","school_city_n","school_state_n","school_district_n","nominator_reason_n"
"1695","GATES High School","Tacoma","Washington","Franklin Pierce Schools","What is especially compelling is how GATES moved from experimentation to coherence. The school has taken its initial equity commitments and new learning and developed them into mature systems that support student agency, belonging, and mastery. This evolution signals a school that is not only responsive to students’ needs but also proactive in creating environments that honor their identities, experiences, and strengths. GATES High School stands out as a powerful example of how an alternative school can reimagine the purpose and experience of education."
"1696","CHOICE Academy","Burien","Washington","Highline Public Schools","As a traditional, comprehensive school, CHOICE is taking deliberate steps to rethink long-standing structures and shift toward practices that center student agency, belonging, and success. Their work to build an equity stance demonstrates a commitment to creating a learning environment where every student feels valued and supported. At the same time, CHOICE Academy is actively piloting and building capacity around new instructional and school practices. This willingness to experiment, learn, and grow signals a forward-thinking mindset; one that recognizes that truly effective schoolwide systems require intentional design and continuous refinement. CHOICE Academy is reimagining what school can look like within a comprehensive setting."
"1697","Carlsbad Intermediate School: PR Leyva campus","Carlsbad","New Mexico","Carlsbad Municipal Schools","PR Leyva and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. 
The school has achieved high-growth learning results for its students; it posted the fourth-highest growth in the state in the math proficiency rate among large schools, and the 17th-highest growth in the literacy rate. It received Certified Opportunity Culture® School status, Level 1, signifying a focus on student access to instruction led by Multi-Classroom Leader® teaching teams and incorporation of small-group, high-dosage tutoring into daily schedules. 
The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The school uses this and other teacher and paraprofessional team roles to reach more students with excellent teaching.
"
"1698","Desert Willow Elementary","Carlsbad","New Mexico","Carlsbad Municipal Schools","Cottonwood Elementary and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. 
The school has achieved high-growth learning results for its students; it posted the highest growth in the state in the literacy proficiency rate among medium-size schools, and the 31st-highest growth in the literacy rate. It received Certified Opportunity Culture® School status, Level 1, signifying a focus on student access to instruction led by Multi-Classroom Leader® teaching teams and incorporation of small-group, high-dosage tutoring into daily schedules. 
The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The school uses this and other teacher and paraprofessional team roles to reach more students with excellent teaching."
"1699","Englewood Elementary","Rocky Mount","North Carolina","Nash County Public Schools","Englewood Elementary and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. 
The school has achieved high-growth learning results for its students, and it received Certified Opportunity Culture® School status, Level 2, signifying a focus on student access to instruction led by Multi-Classroom Leader® teaching teams and incorporation of small-group, high-dosage tutoring into daily schedules. 
The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The school uses this and other teacher and paraprofessional team roles to reach more students with excellent teaching.
"
"1700","James and Rosemary Phalen Leadership Academy High School","Indianapolis","Indiana","Phalen Academies","high school scholars have the opportunity to participate in our Career Technical Education (CTE) program. This program provides scholars hands-on training and certifications that prepare them for careers in high-demand fields with competitive salaries immediately following graduation. These fields include: early education, business, cosmetology/barbering, certified nursing assistant, and computer science. 
"
"1701","Nature's Gift Microschool (Indiana Microschool Collaborative)","Charlottsville","Indiana",NA,"The Indiana Microschool Collaborative launched the first of what will be many sites of public charter microschools this fall. Each site will respond to the needs of the communities in which they exist, with a goal of creating schools that students feel was designed just for them. Each school will feature highly personalized and competency based learning. The small size of each site makes it possible to have multi-age groupings and to leverage peer to peer tutoring."
"1702","Career Institute South","Dallas","Texas","Dallas ISD","Dallas ISD's hub model through Career Institutes addresses transportation, facility, and staffing barriers to provide students from every quadrant of the city with a range of high-potential pathways supported by credited coursework, hands-on learning, opportunities for industry experience, and industry certifications."
"1705","Career Institute East","Dallas","Texas","Dallas ISD","Dallas ISD's hub model through Career Institutes addresses transportation, facility, and staffing barriers to provide students from every quadrant of the city with a range of high-potential pathways supported by credited coursework, hands-on learning, opportunities for industry experience, and industry certifications."
"1706","Career Institute North","Dallas","Texas","Dallas ISD","Dallas ISD's hub model through Career Institutes addresses transportation, facility, and staffing barriers to provide students from every quadrant of the city with a range of high-potential pathways supported by credited coursework, hands-on learning, opportunities for industry experience, and industry certifications."
"1707","SouthTech Preparatory","Boynton Beach","Florida",NA,"7th Graders in IT earn the Web & Software Design Certification, while 8th Graders in IT earn a programming/Emerging Technology certification.

SouthTech’s automotive program offers 10 ASE certifications. If a student passes all 10 ASE certifications, SouthTech will pay the final certification fee for the student to complete their exam at Palm Beach State College. "
"1708","SouthTech Academy","Boynton Beach","Florida",NA,"7th Graders in IT earn the Web & Software Design Certification, while 8th Graders in IT earn a programming/Emerging Technology certification.

SouthTech’s automotive program offers 10 ASE certifications. If a student passes all 10 ASE certifications, SouthTech will pay the final certification fee for the student to complete their exam at Palm Beach State College. "
"1710","Perspectives/IIT Math & Science Academy","Chicago","Illinois","Perspectives Charter Schools Network","Students gain exposure and cultivate agency through field studies, career shadowing, and community action initiatives. Perspectives is also proud to offer after-school enrichment, athletic programs, and enhanced learning opportunities for our students through our partnerships with the local business community and service programs."
"1711","Perspectives Middle Academy","Chicago","Illinois","Perspectives Charter Schools Network","Students gain exposure and cultivate agency through field studies, career shadowing, and community action initiatives. Perspectives is also proud to offer after-school enrichment, athletic programs, and enhanced learning opportunities for our students through our partnerships with the local business community and service programs."
"1712","Rodney D. Joslin Campus","Chicago","Illinois","Perspectives Charter Schools Network","Students gain exposure and cultivate agency through field studies, career shadowing, and community action initiatives. Perspectives is also proud to offer after-school enrichment, athletic programs, and enhanced learning opportunities for our students through our partnerships with the local business community and service programs."
"1714","Perspectives Leadership Academy","Chicago","Illinois","Perspectives Charter Schools Network","Students gain exposure and cultivate agency through field studies, career shadowing, and community action initiatives. Perspectives is also proud to offer after-school enrichment, athletic programs, and enhanced learning opportunities for our students through our partnerships with the local business community and service programs."
"1715","Perspectives High School of Technology","Chicago","Illinois","Perspectives Charter Schools Network","Students gain exposure and cultivate agency through field studies, career shadowing, and community action initiatives. Perspectives is also proud to offer after-school enrichment, athletic programs, and enhanced learning opportunities for our students through our partnerships with the local business community and service programs."
"1716","CWC West Valley Elementary & Middle School","Los Angeles","California",NA,"Citizens of the World Charter Schools Los Angeles (CWC LA) is a network of charter schools. The mission of CWC LA is to create an intimate network of high-achieving, community-based public schools for a diverse community of students, developing their abilities, confidence, and sense of responsibility for themselves and their community as true citizens of the world. 

COTW is an active member of Diverse Charter Schools Coalition."
"1718","CWC East Valley","Los Angeles","California",NA,"Citizens of the World Charter Schools Los Angeles (CWC LA) is a network of charter schools. The mission of CWC LA is to create an intimate network of high-achieving, community-based public schools for a diverse community of students, developing their abilities, confidence, and sense of responsibility for themselves and their community as true citizens of the world. 

COTW is an active member of Diverse Charter Schools Coalition."
"1719","CWC Mar Vista Elementary and Middle School","Los Angeles","California",NA,"Citizens of the World Charter Schools Los Angeles (CWC LA) is a network of charter schools. The mission of CWC LA is to create an intimate network of high-achieving, community-based public schools for a diverse community of students, developing their abilities, confidence, and sense of responsibility for themselves and their community as true citizens of the world. 

COTW is an active member of Diverse Charter Schools Coalition."
"1722","CWC Silverlake Middle School","Los Angeles","California",NA,"Citizens of the World Charter Schools Los Angeles (CWC LA) is a network of charter schools. The mission of CWC LA is to create an intimate network of high-achieving, community-based public schools for a diverse community of students, developing their abilities, confidence, and sense of responsibility for themselves and their community as true citizens of the world. 

COTW is an active member of Diverse Charter Schools Coalition."
"1723","CWC Silver Lake","Los Angeles","California",NA,"Citizens of the World Charter Schools Los Angeles (CWC LA) is a network of charter schools. The mission of CWC LA is to create an intimate network of high-achieving, community-based public schools for a diverse community of students, developing their abilities, confidence, and sense of responsibility for themselves and their community as true citizens of the world. 

COTW is an active member of Diverse Charter Schools Coalition."
"1724","University Preparatory Charter School For Young Men Middle School","Rochester","New York",NA,"Super strong culture, great expansion of CTE programs with local partners. Culinary is the star!"
"1725","Hempstead Elementary School","Hempstead, Uniondale, Wyandanch, Central Islip ","New York","The Academy Charter Schools Shared Services Team (Not a formal CMO, but shared services)","The Academy has significantly developed it's high school program in recent years with a heavy investment in CTE and STEM programming to provide career-connected learning and pathways, with a focus on aviation and drone technology, digital media arts, robotics, and other important modern fields that lead to stable and trajectory-changing career paths."
"1726","Hempstead Upper Elementary School","Hempstead, Uniondale, Wyandanch, Central Islip ","New York","The Academy Charter Schools Shared Services Team (Not a formal CMO, but shared services)","The Academy has significantly developed it's high school program in recent years with a heavy investment in CTE and STEM programming to provide career-connected learning and pathways, with a focus on aviation and drone technology, digital media arts, robotics, and other important modern fields that lead to stable and trajectory-changing career paths."
"1727","Hempstead Middle School","Hempstead, Uniondale, Wyandanch, Central Islip ","New York","The Academy Charter Schools Shared Services Team (Not a formal CMO, but shared services)","The Academy has significantly developed it's high school program in recent years with a heavy investment in CTE and STEM programming to provide career-connected learning and pathways, with a focus on aviation and drone technology, digital media arts, robotics, and other important modern fields that lead to stable and trajectory-changing career paths."
"1728","Hempstead High School","Hempstead, Uniondale, Wyandanch, Central Islip ","New York","The Academy Charter Schools Shared Services Team (Not a formal CMO, but shared services)","The Academy has significantly developed it's high school program in recent years with a heavy investment in CTE and STEM programming to provide career-connected learning and pathways, with a focus on aviation and drone technology, digital media arts, robotics, and other important modern fields that lead to stable and trajectory-changing career paths."
"1729","The Academy Charter School - Uniondale","Hempstead, Uniondale, Wyandanch, Central Islip ","New York","The Academy Charter Schools Shared Services Team (Not a formal CMO, but shared services)","The Academy has significantly developed it's high school program in recent years with a heavy investment in CTE and STEM programming to provide career-connected learning and pathways, with a focus on aviation and drone technology, digital media arts, robotics, and other important modern fields that lead to stable and trajectory-changing career paths."
"1730","The Academy Charter School – Wyandanch","Hempstead, Uniondale, Wyandanch, Central Islip ","New York","The Academy Charter Schools Shared Services Team (Not a formal CMO, but shared services)","The Academy has significantly developed it's high school program in recent years with a heavy investment in CTE and STEM programming to provide career-connected learning and pathways, with a focus on aviation and drone technology, digital media arts, robotics, and other important modern fields that lead to stable and trajectory-changing career paths."
"1731","Elevate Academy North",NA,NA,NA,"This school creates a learning environment that is engaging, effective, and empowering for all students."
"1732","Elevate Academy East",NA,NA,NA,"This school creates a learning environment that is engaging, effective, and empowering for all students."
"1733","Elevate Academy Twin Falls",NA,NA,NA,"This school creates a learning environment that is engaging, effective, and empowering for all students."
